HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siControl_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_1.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_2.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt,HCC1954_siRNF40_3.fastq.gz_trimmed_featurecounts.txt
DDX11L1,3,DDX11L1,7,DDX11L1,15,DDX11L1,2,DDX11L1,11
WASH7P,163,WASH7P,277,WASH7P,274,WASH7P,320,WASH7P,305
MIR6859-1,0,MIR6859-1,0,MIR6859-1,2,MIR6859-1,0,MIR6859-1,2
MIR1302-2HG,0,MIR1302-2HG,0,MIR1302-2HG,0,MIR1302-2HG,0,MIR1302-2HG,0
MIR1302-2,0,MIR1302-2,0,MIR1302-2,0,MIR1302-2,0,MIR1302-2,0
FAM138A,3,FAM138A,0,FAM138A,0,FAM138A,0,FAM138A,0
OR4F5,0,OR4F5,0,OR4F5,0,OR4F5,0,OR4F5,0
LOC124903816,0,LOC124903816,0,LOC124903816,0,LOC124903816,0,LOC124903816,0
LOC124900384,77,LOC124900384,37,LOC124900384,66,LOC124900384,125,LOC124900384,70
LOC729737,323,LOC729737,247,LOC729737,323,LOC729737,390,LOC729737,409
LOC124903814,23,LOC124903814,19,LOC124903814,18,LOC124903814,33,LOC124903814,31
DDX11L17,5,DDX11L17,8,DDX11L17,17,DDX11L17,4,DDX11L17,10
LOC100996442,149,LOC100996442,233,LOC100996442,244,LOC100996442,284,LOC100996442,352
MIR6859-2,0,MIR6859-2,0,MIR6859-2,1,MIR6859-2,0,MIR6859-2,2
LOC127239154,28,LOC127239154,34,LOC127239154,41,LOC127239154,77,LOC127239154,59
LOC124903815,0,LOC124903815,0,LOC124903815,0,LOC124903815,0,LOC124903815,0
LOC124900618,7,LOC124900618,7,LOC124900618,13,LOC124900618,15,LOC124900618,14
LOC112268260,0,LOC112268260,2,LOC112268260,3,LOC112268260,0,LOC112268260,0
OR4F29,0,OR4F29,0,OR4F29,0,OR4F29,0,OR4F29,0
LOC100132287,167,LOC100132287,162,LOC100132287,211,LOC100132287,221,LOC100132287,208
LOC124904706,0,LOC124904706,0,LOC124904706,3,LOC124904706,3,LOC124904706,3
LOC105378947,2,LOC105378947,3,LOC105378947,0,LOC105378947,5,LOC105378947,2
LOC101928626,0,LOC101928626,0,LOC101928626,0,LOC101928626,0,LOC101928626,0
MIR12136,0,MIR12136,0,MIR12136,1,MIR12136,5,MIR12136,5
OR4F16,3,OR4F16,0,OR4F16,1,OR4F16,9,OR4F16,5
LOC100288069,310,LOC100288069,219,LOC100288069,340,LOC100288069,432,LOC100288069,350
LINC01409,71,LINC01409,76,LINC01409,77,LINC01409,151,LINC01409,155
LOC124903817,26,LOC124903817,20,LOC124903817,26,LOC124903817,36,LOC124903817,25
FAM87B,0,FAM87B,0,FAM87B,0,FAM87B,0,FAM87B,0
LINC00115,2,LINC00115,6,LINC00115,8,LINC00115,7,LINC00115,8
LINC01128,123,LINC01128,293,LINC01128,226,LINC01128,328,LINC01128,336
LOC107984850,0,LOC107984850,0,LOC107984850,0,LOC107984850,0,LOC107984850,0
FAM41C,5,FAM41C,15,FAM41C,7,FAM41C,1,FAM41C,8
LOC284600,7,LOC284600,1,LOC284600,6,LOC284600,13,LOC284600,12
LINC02593,0,LINC02593,1,LINC02593,1,LINC02593,1,LINC02593,2
LOC107985728,4,LOC107985728,1,LOC107985728,0,LOC107985728,2,LOC107985728,0
SAMD11,7,SAMD11,15,SAMD11,9,SAMD11,4,SAMD11,18
NOC2L,749,NOC2L,1096,NOC2L,998,NOC2L,1024,NOC2L,1262
KLHL17,15,KLHL17,18,KLHL17,41,KLHL17,47,KLHL17,50
PLEKHN1,96,PLEKHN1,86,PLEKHN1,94,PLEKHN1,131,PLEKHN1,138
PERM1,0,PERM1,0,PERM1,0,PERM1,0,PERM1,0
HES4,79,HES4,46,HES4,53,HES4,76,HES4,77
ISG15,35,ISG15,22,ISG15,77,ISG15,45,ISG15,71
AGRN,735,AGRN,827,AGRN,780,AGRN,1070,AGRN,1008
LOC100288175,16,LOC100288175,21,LOC100288175,14,LOC100288175,33,LOC100288175,32
LOC105378948,13,LOC105378948,20,LOC105378948,6,LOC105378948,11,LOC105378948,15
RNF223,27,RNF223,20,RNF223,15,RNF223,27,RNF223,21
C1orf159,52,C1orf159,91,C1orf159,69,C1orf159,77,C1orf159,85
LOC124903819,0,LOC124903819,0,LOC124903819,0,LOC124903819,0,LOC124903819,0
LOC124903820,0,LOC124903820,0,LOC124903820,0,LOC124903820,0,LOC124903820,0
LINC01342,0,LINC01342,0,LINC01342,0,LINC01342,0,LINC01342,0
LOC124903818,0,LOC124903818,0,LOC124903818,0,LOC124903818,0,LOC124903818,0
MIR200B,0,MIR200B,0,MIR200B,0,MIR200B,0,MIR200B,0
MIR200A,0,MIR200A,0,MIR200A,0,MIR200A,0,MIR200A,0
MIR429,0,MIR429,0,MIR429,0,MIR429,0,MIR429,0
TTLL10-AS1,0,TTLL10-AS1,0,TTLL10-AS1,0,TTLL10-AS1,0,TTLL10-AS1,0
TTLL10,11,TTLL10,0,TTLL10,0,TTLL10,0,TTLL10,0
TNFRSF18,0,TNFRSF18,7,TNFRSF18,0,TNFRSF18,0,TNFRSF18,0
TNFRSF4,0,TNFRSF4,0,TNFRSF4,0,TNFRSF4,0,TNFRSF4,0
SDF4,493,SDF4,600,SDF4,376,SDF4,488,SDF4,636
B3GALT6,52,B3GALT6,101,B3GALT6,107,B3GALT6,126,B3GALT6,135
C1QTNF12,0,C1QTNF12,0,C1QTNF12,1,C1QTNF12,3,C1QTNF12,0
UBE2J2,215,UBE2J2,252,UBE2J2,250,UBE2J2,269,UBE2J2,349
SCNN1D,4,SCNN1D,2,SCNN1D,1,SCNN1D,4,SCNN1D,0
ACAP3,52,ACAP3,64,ACAP3,88,ACAP3,94,ACAP3,78
MIR6726,0,MIR6726,0,MIR6726,0,MIR6726,0,MIR6726,0
SNORD167,0,SNORD167,0,SNORD167,6,SNORD167,0,SNORD167,0
PUSL1,28,PUSL1,52,PUSL1,49,PUSL1,45,PUSL1,46
INTS11,143,INTS11,219,INTS11,251,INTS11,250,INTS11,274
MIR6727,0,MIR6727,0,MIR6727,0,MIR6727,0,MIR6727,0
CPTP,63,CPTP,70,CPTP,84,CPTP,114,CPTP,117
TAS1R3,0,TAS1R3,2,TAS1R3,0,TAS1R3,0,TAS1R3,0
DVL1,154,DVL1,271,DVL1,252,DVL1,287,DVL1,296
MIR6808,0,MIR6808,0,MIR6808,0,MIR6808,0,MIR6808,0
MXRA8,0,MXRA8,0,MXRA8,0,MXRA8,0,MXRA8,0
AURKAIP1,418,AURKAIP1,369,AURKAIP1,406,AURKAIP1,377,AURKAIP1,517
CCNL2,345,CCNL2,404,CCNL2,354,CCNL2,461,CCNL2,564
MRPL20-AS1,81,MRPL20-AS1,102,MRPL20-AS1,47,MRPL20-AS1,99,MRPL20-AS1,120
MRPL20,611,MRPL20,748,MRPL20,456,MRPL20,652,MRPL20,876
MRPL20-DT,46,MRPL20-DT,50,MRPL20-DT,35,MRPL20-DT,35,MRPL20-DT,61
ANKRD65,0,ANKRD65,3,ANKRD65,4,ANKRD65,1,ANKRD65,3
ANKRD65-AS1,0,ANKRD65-AS1,0,ANKRD65-AS1,0,ANKRD65-AS1,0,ANKRD65-AS1,0
TMEM88B,0,TMEM88B,4,TMEM88B,2,TMEM88B,0,TMEM88B,2
LINC01770,3,LINC01770,1,LINC01770,0,LINC01770,4,LINC01770,3
LOC107985729,0,LOC107985729,0,LOC107985729,0,LOC107985729,0,LOC107985729,4
VWA1,269,VWA1,309,VWA1,288,VWA1,358,VWA1,391
ATAD3C,135,ATAD3C,121,ATAD3C,132,ATAD3C,188,ATAD3C,164
ATAD3B,234,ATAD3B,256,ATAD3B,311,ATAD3B,377,ATAD3B,279
ATAD3A,216,ATAD3A,321,ATAD3A,343,ATAD3A,373,ATAD3A,359
TMEM240,0,TMEM240,1,TMEM240,0,TMEM240,0,TMEM240,0
SSU72,1228,SSU72,1716,SSU72,980,SSU72,1074,SSU72,1426
FNDC10,58,FNDC10,44,FNDC10,78,FNDC10,93,FNDC10,101
LOC105378586,0,LOC105378586,0,LOC105378586,0,LOC105378586,0,LOC105378586,0
MIB2,26,MIB2,38,MIB2,46,MIB2,46,MIB2,33
LOC124903821,0,LOC124903821,0,LOC124903821,0,LOC124903821,0,LOC124903821,0
MMP23B,0,MMP23B,0,MMP23B,0,MMP23B,0,MMP23B,1
CDK11B,358,CDK11B,596,CDK11B,574,CDK11B,644,CDK11B,719
SLC35E2B,266,SLC35E2B,359,SLC35E2B,270,SLC35E2B,396,SLC35E2B,420
MMP23A,0,MMP23A,0,MMP23A,0,MMP23A,0,MMP23A,1
CDK11A,192,CDK11A,404,CDK11A,470,CDK11A,519,CDK11A,508
SLC35E2A,213,SLC35E2A,267,SLC35E2A,236,SLC35E2A,323,SLC35E2A,339
